"Absolute Zero","#0048ba","absolute zero"
"Tickle Me Pink","#fc89ac","tickle me pink"
"Tigers Eye","#b56917","tigers eye"
"Timberwolf","#dbd7d2","timberwolf"
"Tropical Rain Forest","#17806d","tropical rain forest"
"Tulip","#ff878d","tulip"
"Tumbleweed","#deaa88","tumbleweed"
"Turquoise Blue","#77dde7","turquoise blue"
"Turquoise Pearl","#3bbcd0","turquoise pearl"
"Twilight Lavender","#8a496b","twilight lavender"
"Unmellow Yellow","#000ff6","unmellow yellow"
"Violet Blue","#324ab2","violet blue"
"Violet Purple","#926eae","violet purple"
"Violet Red","#f75394","violet red"
"Vivid Tangerine","#ffa089","vivid tangerine"
"Vivid Violet","#8f509d","vivid violet"
"White","#ffffff","white"
"Wild Blue Yonder","#a2add0","wild blue yonder"
"Wild Strawberry","#ff43a4","wild strawberry"
"Wild Watermelon","#fc6c85","wild watermelon"
"Winter Sky","#ff007c","winter sky"
"Winter Wizard","#a0e6ff","winter wizard"
"Wintergreen Dream","#56887d","wintergreen dream"
"Wisteria","#cda4de","wisteria"
"Yellow Green","#c5e384","yellow green"
"Yellow Orange","#ffb653","yellow orange"
"Yellow Sunshine","#fff700","yellow sunshine"
"Yellow","#fce883","yellow"
